195,Ability,Noun,"The quality or state of being able; power to perform, whether physical, moral, intellectual, conventional, or legal; capacity; skill or competence in doing; sufficiency of strength, skill, resources, etc.; -- in the plural, faculty, talent.
'the fact that somebody/something is able to do somethinga level of skill or intelligence'",/əˈbɪləti/,"danger heightened his powers of discrimination
'People with the disease may lose their ability to communicate.This program has the ability to adapt to its user.Students must demonstrate the ability to understand simple texts.She has an uncanny ability to predict what consumers will want.A gentle form of exercise will increase your ability to relax.Their athletic ability is stunning.cognitive/intellectual/mental abilityA woman of her ability will easily find a job.Are you used to teaching students of mixed abilities?', ""It's important to discover the natural abilities of each child."", 'I try to do my job to the best of my ability (= as well as I can).'","Ability, Power",Inability
236,Able,Adjective,"Fit; adapted; suitable.
Having sufficient power, strength, force, skill, means, or resources of any kind to accomplish the object; possessed of qualifications rendering competent for some end; competent; qualified; capable; as, an able workman, soldier, seaman, a man able to work; a mind able to reason; a person able to be generous; able to endure pain; able to play on a piano.
Specially: Having intellectual qualifications, or strong mental powers; showing ability or skill; talented; clever; powerful; as, the ablest man in the senate; an able speech.
Legally qualified; possessed of legal competence; as, able to inherit or devise property.
To make able; to enable; to strengthen.
To vouch for.
'having the skill, intelligence, opportunity, etc. needed to do somethingintelligent; good at something'",/ˈeɪbl/,"an able seaman, able teachers, able to learn, able to swim
'You must be able to speak French for this job.A viral illness left her barely able to walk.', ""We're still able to get visas to come and go from Thailand."", ""I didn't feel able to disagree with him."", 'Will you be able to come?Are you really willing and able to do what is necessary?', ""They don't even seem able to see what's good about their ideas."", 'These families are less able to afford a balanced, healthy diet.', ""She's the ablest student in the class.""","Capable, Able",Unable
302,Aboriginal,Adjective,"First; original; indigenous; primitive; native; as, the aboriginal tribes of America.
Of or pertaining to aborigines; as, a Hindoo of aboriginal blood.
An original inhabitant of any land; one of the aborigines.
An animal or a plant native to the region.
'relating to the original people living in Australia before Europeans arrived'",/ˌæbəˈrɪdʒənl/,"the art of the natives of the northwest coast, aboriginal forests, an Aboriginal rite, native Americans
'the issue of Aboriginal land rightsthe aboriginal peoples of Canadaaboriginal art/culture'","Abo, Aborigine, Native_australian",Nonnative
325,Above,Preposition,"In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
Figuratively, higher than; superior to in any respect; surpassing; beyond; higher in measure or degree than; as, things above comprehension; above mean actions; conduct above reproach.
Surpassing in number or quantity; more than; as, above a hundred. (Passing into the adverbial sense. See Above, adv., 4.)
In a higher place; overhead; into or from heaven; as, the clouds above.
Earlier in order; higher in the same page; hence, in a foregoing page.
Higher in rank or power; as, he appealed to the court above.
More than; as, above five hundred were present.
'at or to a higher place or position than something/somebodymore than something; greater in number, level or age than somebody/somethinglouder or clearer than another sound'",/əˈbʌv/,"for instructions refer to the above, flaws in the above interpretation, see above
'The water came above our knees.We were flying above the clouds.the people in the apartment above mineA captain in the navy ranks above a captain in the army.They finished the year six places above their local rivals.Inflation is above 6%.Temperatures have been above average.We cannot accept children above the age of 10.I rate her above most other players of her age.', ""She's not above lying when it suits her."", ""He's above suspicion (= he is completely trusted)."", ""I couldn't hear her above the noise of the traffic.""",Above,Below
397,Absence,Noun,"A state of being absent or withdrawn from a place or from companionship; -- opposed to presence.
Want; destitution; withdrawal.
Inattention to things present; abstraction (of mind); as, absence of mind.
'the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is awaythe fact of somebody/something not existing or not being available; a lack of something'",/ˈæbsəns/,"he was surprised by the absence of any explanation, he visited during my absence
'The decision was made in my absence (= while I was not there).We did not receive any news during his long absence.absence from workrepeated absences from schoolI was surprised by the absence of any women on the board of directors.The case was dismissed in the absence of any definite proof.'",Absence,Presence
398,Absent,Adjective,"Being away from a place; withdrawn from a place; not present.
Not existing; lacking; as, the part was rudimental or absent.
Inattentive to what is passing; absent-minded; preoccupied; as, an absent air.
To take or withdraw (one's self) to such a distance as to prevent intercourse; -- used with the reflexive pronoun.
To withhold from being present.
'not in a place because of illness, etc.not present in something'",/ˈæbsənt/,"an absent stare, He absented himself, the thumb is absent
'He was absent from work for two weeks.Local people were conspicuously absent from the meeting.Love was totally absent from his childhood.an absent expression'","Remove, Absent",Present
425,Absolute,Adjective,"Loosed from any limitation or condition; uncontrolled; unrestricted; unconditional; as, absolute authority, monarchy, sovereignty, an absolute promise or command; absolute power; an absolute monarch.
Complete in itself; perfect; consummate; faultless; as, absolute perfection; absolute beauty.
Viewed apart from modifying influences or without comparison with other objects; actual; real; -- opposed to relative and comparative; as, absolute motion; absolute time or space.
Loosed from, or unconnected by, dependence on any other being; self-existent; self-sufficing.
Capable of being thought or conceived by itself alone; unconditioned; non-relative.
Positive; clear; certain; not doubtful.
Authoritative; peremptory.
Pure; unmixed; as, absolute alcohol.
Not immediately dependent on the other parts of the sentence in government; as, the case absolute. See Ablative absolute, under Ablative.
In a plane, the two imaginary circular points at infinity; in space of three dimensions, the imaginary circle at infinity.
'total and completeused, especially in spoken English, to give emphasis to what you are saying'",/ˈæbsəluːt/,"no mortal being can influence the absolute, an absolute monarch, an absolute guarantee to respect the nation's authority, absolute loyalty, absolute freedom, infrangible human rights
""I've joined a class for absolute beginners."", 'absolute confidence/trust/silence/truth', ""‘You're wrong,’ she said with absolute certainty."", 'Clean water is an absolute necessity.Around them the darkness was absolute, the silence oppressive.We must keep costs to an absolute minimum.This room is an absolute disgrace.', ""They're talking absolute nonsense."", 'He must earn an absolute fortune.There was no absolute proof.He taught us that the laws of physics were absolute.The story offers no clear message, no absolute truth.The divorce became absolute last week.absolute power/authorityan absolute ruler/monarchy (= one with no limit to their power)Although prices are falling in absolute terms, energy is still expensive.Beauty cannot be measured by any absolute standard.'",Absolute,Relative
437,Absolve,Verb,"To set free, or release, as from some obligation, debt, or responsibility, or from the consequences of guilt or such ties as it would be sin or guilt to violate; to pronounce free; as, to absolve a subject from his allegiance; to absolve an offender, which amounts to an acquittal and remission of his punishment.
To free from a penalty; to pardon; to remit (a sin); -- said of the sin or guilt.
To finish; to accomplish.
To resolve or explain.
'to state formally that somebody is not guilty or responsible for somethingto give absolution to somebody'",/əbˈzɒlv/,"The priest absolved him and told him to say ten Hail Mary's, I absolve you from this responsibility
'The court absolved him of all responsibility for the accident.I absolve you from all your sins.'","Shrive, Absolve",Blame
444,Absorb,Verb,"To swallow up; to engulf; to overwhelm; to cause to disappear as if by swallowing up; to use up; to include.
To suck up; to drink in; to imbibe; as a sponge or as the lacteals of the body.
To engross or engage wholly; to occupy fully; as, absorbed in study or the pursuit of wealth.
To take up by cohesive, chemical, or any molecular action, as when charcoal absorbs gases. So heat, light, and electricity are absorbed or taken up in the substances into which they pass.
'to take in a liquid, gas or other substance from the surface or space aroundto take in and keep heat, light, energy, sound, etc. instead of reflecting itto reduce the effect of a physical impact or movementto take something into the mind and learn or understand it'",/əbˈzɔːb/,"The sales tax is absorbed into the state income tax, Her interest in butterflies absorbs her completely, he absorbed the knowledge or beliefs of his tribe, A black star absorbs all matter, He immersed himself into his studies, absorb the costs for something, The immigrants were quickly absorbed into society, The liquids, light, and gases absorb, The sponge absorbs water well
'Plants absorb carbon dioxide from the air.Let the rice cook until it has absorbed all the water.The cream is easily absorbed into the skin.Black walls absorb a lot of heat during the day.This tennis racket absorbs shock on impact.The bats have graphite shafts that absorb the vibration.', ""It's a lot of information to absorb all at once."", 'It took me several days to absorb the fact of her death.They spent a week in Paris just absorbing the atmosphere.This work had absorbed him for several years.His work absorbed him completely.The town absorbs an influx of tourists every summer.The surrounding small towns have been absorbed into the city.These committees were gradually absorbed into the local government machine.The new proposals would absorb $80 billion of the federal budget.My work absorbs a great deal of my time.The company is unable to absorb such huge losses.'","Assimilate, Absorb",Emit
461,Abstain,Verb,"To hold one's self aloof; to forbear or refrain voluntarily, and especially from an indulgence of the passions or appetites; -- with from.
To hinder; to withhold.
'to choose not to use a vote, either in favour of or against somethingto decide not to do or have something, especially something you like or enjoy, because it is bad for your health or considered morally wrongto stay away from something'",/əbˈsteɪn/,"I abstain from alcohol
'Ten people voted in favour, five against and two abstained.to abstain from alcohol/sex/drugsThe workers who abstained from work yesterday have been suspended.'","Refrain, Abstain",Consume
